POTMH,Lower Potomac River,46,Mesohaline,Lower Potomac River (Mesohaline),92.938071,pd,123.505578,,86.587344,,107.072763,,193.165887,,210.167055,,274.613343,,220.768074,,244.589478,,444.674445,,545.940123,,825.545088,,1346.947188,,1145.676093,,1808.894622,,915.591972,,1501.044984,,2439.247521,,2429.116011,pd,3062.18712,,2892.817926,,1663.0503,,677.57562,,395.548977,,335.896623,,207.177024,,364.610805,,697.863351,,1112.266821,,408.052743,,619.75188,,31.531236,pd,747.137085,,624.101016,pd,760.654002,,848.798139,,1190.773668,,1429.852593,,2041.06259,,1862.974016,,7088
POTOH,Middle Potomac River,47,Oligohaline,Middle Potomac River Segment 3 (Oligohaline),536.451099,pd,1048.438308,,906.374769,,1090.051632,,2211.955743,,2193.471915,,2342.775777,,2308.847574,,2159.173047,,1971.789534,,1567.715262,,1639.179474,,1960.348341,,2802.72162,,2531.295996,,2340.329388,,1088.297151,pd,1355.521905,,1660.752177,,1709.655246,,2210.497794,,1770.394884,,1358.981445,,1434.004041,,1396.245633,,1279.832112,,1044.756369,pd,1101.171582,,914.677665,,938.993289,,914.405844,,712.689951,,306.465822,,333.993876,pd,548.411223,,617.206647,,515.026662,,615.822831,,147.0027645,pd,190.8391915,,2802
POTTF,Upper Potomac River,48,Tidal Fresh,Upper Potomac River (Tidal Fresh),924.784464,,1851.916473,,2185.490262,,2125.39311,,1594.304298,,1812.428295,,2143.308585,,1760.238663,,1655.686422,,1113.72477,,482.704674,,507.242697,,446.058261,,1325.769861,,1561.636356,,1820.039283,,861.252483,pd,1856.339742,,858.040053,,1211.629752,,1967.292132,,2013.526413,,2746.059297,,3072.961116,,2843.667747,,1883.991351,,468.075762,pd,867.3561,,1363.997778,,1484.463903,,1920.53892,,983.917887,pd,1974.211212,,536.599365,pd,905.262774,,1072.160868,,1174.489119,,1120.64385,,0,pd,1066,,2142
RHDMH,Rhode River,27,Mesohaline,Rhode River (Mesohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.963729,,2.4711,,0,,0,,0,,0,,0,,60
SASOH,Sassafras River,7,Oligohaline,Sassafras River Segment 2 (Oligohaline),49.496133,,67.95525,,82.707717,,84.486909,,222.868509,,97.138941,,74.38011,,34.545978,,186.370362,,188.421375,,444.279069,,247.900752,,273.773169,,169.51746,,240.363897,,960.244749,,1169.102121,,830.363733,,370.244913,,1271.059707,,1475.913897,,865.181532,,372.493614,,604.974702,,861.153639,,910.60035,,515.323194,,272.414064,,107.764671,,146.264409,,225.018366,,228.650883,,41.662746,,161.733495,pd,405.878175,,169.295061,,203.519796,,160.893321,,10.6008045,,87.4504595,,1168
SEVMH,Severn River,25,Mesohaline,Severn River (Mesohaline),0,,0,,0.296532,,0,,0,,0,,0,,0,,0,,77.394852,,125.951967,,272.463486,,306.095157,,403.77774,,454.954221,pd,128.126535,,119.897772,pd,282.026643,,221.583537,,388.036833,,425.52342,,410.869797,,325.93809,,311.235045,,211.007229,,174.780903,,192.177447,,180.785676,,74.997885,,143.447355,,231.344382,,310.987935,,194.821524,,223.659261,,404.098983,,294.851652,,226.402182,,270.363051,,325.9067845,,330.2064115,,455
SOUMH,South River,26,Mesohaline,South River (Mesohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,4.176159,,4.522113,,21.523281,,40.402485,,54.3642,,17.198856,,0,,26.539614,pd,35.608551,,13.615761,,46.086015,,10.180932,,0,,8.006364,,0,,0,,0,,0,,4.20087,,0,,6.153039,,9.933822,,14.851311,,0,,0,,18.014319,,4.250292,,0,,0.370665,,1.284946,,0.296526,,479
TANMH,Tangier Sound,36,Mesohaline,Tangier Sound Segment 2 (Mesohaline),3655.028721,,4728.94407,,6200.23701,,5458.857588,,7220.232957,,7585.436826,,8448.369657,,9128.095134,,8363.808615,,5525.972664,,4430.262213,,4140.32805,,3187.521312,,1771.235058,,4662.891567,,6423.920982,,7359.775974,,8587.171344,,4490.631186,,4246.511217,,5412.351486,,4139.907963,,4202.031417,,5074.132029,,7130.482605,,7912.042113,,6144.612549,,6095.684769,,8370.826539,,10547.24786,,13805.91215,,14472.54079,,13684.85296,,16751.61161,,4314.911265,,4758.84438,,4332.011277,,6167.346669,,7466.203444,,6838.457902,,24757
WBRTF,Western Branch of the Patuxent River,45,Tidal Fresh,Western Branch of the Patuxent River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.148266,,0.074133,,0.024711,,0,,0,,1.260261,,0,nd,0.543642,,1.23555,,1.828614,,0,,0,,0,,1.457949,,0.49422,,0.420087,,0,,0,,0,,0,,0
WICMH,Wicomico River,35,Mesohaline,Wicomico River (Mesohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.866476,,3.261852,,3.731361,,8.105044,,0,,3
WSTMH,West River,28,Mesohaline,West River (Mesohaline),0,,5.411709,,1.013151,,0,,0,,0,,0,,0,,0,,11.564748,,0,,0,,0,,7.932231,,0,,0,,0,,0,,23.030652,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.536855,,0,,0,,0,,0,,0,,0,,0,,0,,238
,Maryland,,,Maryland,13697.06019,pd,23994.28216,,20836.80942,pd,23609.65544,,26127.33568,,24452.99245,,24095.96792,,30740.36045,,32366.66549,,29301.11767,,25665.067,,28660.46029,,34642.89454,,30471.25766,,33832.67027,pd,35456.10884,,42328.38621,pd,52347.16463,,31010.67407,pd,44610.00226,,44171.11019,,32571.00075,,34878.98344,,42092.14905,,47152.91243,,40053.34328,,32072.67872,pd,24508.91344,,28814.85461,,39399.91031,,53783.21968,,59276.9692,pd,62355.7374,,56993.99404,pd,39264.22221,,35266.47663,,35193.80158,,37737.94729,,38188.37273,,36799.58601,,79800
